"question_id","question_type","label","rule_reference","rationale","evidence_session_count","answer_session_count"
"gpt4_2c50253f","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"dcfa8644","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_b4a80587","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_9a159967","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",3,3
"cc6d1ec1","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_8c8961ae","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_d9af6064","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_7de946e7","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"d01c6aa8","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"993da5e2","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"a3045048","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_d31cdae3","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_cd90e484","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_88806d6e","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_4cd9eba1","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_93f6379c","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",3,3
"b29f3365","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_2f56ae70","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",3,3
"6613b389","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",3,3
"gpt4_78cf46a3","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_0a05b494","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_1a1dc16d","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_2f584639","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_213fd887","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_5438fa52","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_c27434e8","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_fe651585","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"8c18457d","temporal-reasoning","out_of_scope","inclusion_3","time comparison/date arithmetic without dated contradiction or supersession boundary",2,2
"gpt4_70e84552_abs","temporal-reasoning","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"gpt4_93159ced_abs","temporal-reasoning","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"982b5123_abs","temporal-reasoning","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"c8090214_abs","temporal-reasoning","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"gpt4_c27434e8_abs","temporal-reasoning","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"gpt4_fe651585_abs","temporal-reasoning","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"0a995998","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"6d550036","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"gpt4_59c863d7","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"b5ef892d","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"e831120c","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"3a704032","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"gpt4_d84a3211","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"aae3761f","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"gpt4_f2262a51","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"dd2973ad","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"c4a1ceb8","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"gpt4_a56e767c","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"6cb6f249","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"46a3abf7","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"36b9f61e","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"28dc39ac","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",5,5
"gpt4_2f8be40d","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"2e6d26dc","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"gpt4_15e38248","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"88432d0a","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"80ec1f4f","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"d23cf73b","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"gpt4_7fce9456","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",5,5
"d682f1a2","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"7024f17c","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"gpt4_5501fe77","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"gpt4_2ba83207","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"2318644b","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"2ce6a0f2","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"gpt4_d12ceb0e","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"00ca467f","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"b3c15d39","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"gpt4_31ff4165","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",5,5
"eeda8a6d","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"2788b940","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"60bf93ed","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"9d25d4e0","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"129d1232","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"60472f9c","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"gpt4_194be4b3","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",5,5
"a9f6b44c","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"d851d5ba","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"5a7937c8","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"gpt4_ab202e7f","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",5,5
"gpt4_e05b82a6","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"gpt4_731e37d7","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"edced276","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"10d9b85a","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"e3038f8c","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"2b8f3739","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"1a8a66a6","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",4,4
"c2ac3c61","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",2,2
"bf659f65","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"gpt4_372c3eed","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"gpt4_2f91af09","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",3,3
"81507db6","multi-session","out_of_scope","exclusion_3","aggregation across sessions without correction boundary",5,5
"88432d0a_abs","multi-session","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",4,4
"80ec1f4f_abs","multi-session","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",3,3
"eeda8a6d_abs","multi-session","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"60bf93ed_abs","multi-session","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"edced276_abs","multi-session","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"gpt4_372c3eed_abs","multi-session","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",3,3
"6a1eabeb","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"6aeb4375","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"830ce83f","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"852ce960","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"945e3d21","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"d7c942c3","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"71315a70","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"89941a93","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"ce6d2d27","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"9ea5eabc","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"07741c44","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"a1eacc2a","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"184da446","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"031748ae","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"4d6b87c8","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"0f05491a","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"08e075c7","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"f9e8c073","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"41698283","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"2698e78f","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"b6019101","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"45dc21b6","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"5a4f22c0","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"6071bd76","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"e493bb7c","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"618f13b2","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"72e3ee87","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"c4ea545c","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"01493427","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"6a27ffc2","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"2133c1b5","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"18bc8abd","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"db467c8c","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"7a87bd0c","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"e61a7584","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"1cea1afa","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"ed4ddc30","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"8fb83627","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"b01defab","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"22d2cb42","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"0e4e4c46","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"4b24c848","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"7e974930","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"603deb26","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"59524333","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"5831f84d","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"eace081b","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"affe2881","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"50635ada","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"e66b632c","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"0ddfec37","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"f685340e","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"cc5ded98","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"dfde3500","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"69fee5aa","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"7401057b","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"cf22b7bf","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"a2f3aa27","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"c7dc5443","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"06db6396","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"3ba21379","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"9bbe84a2","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"10e09553","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"dad224aa","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"ba61f0b9","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"42ec0761","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"5c40ec5b","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"c6853660","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"26bdc477","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"0977f2af","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"6aeb4375_abs","knowledge-update","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"031748ae_abs","knowledge-update","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"2698e78f_abs","knowledge-update","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"2133c1b5_abs","knowledge-update","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"0ddfec37_abs","knowledge-update","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"f685340e_abs","knowledge-update","out_of_scope","exclusion_1","abstention instance has no retrieval-answer denominator",2,2
"89941a94","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"07741c45","knowledge-update","contradiction_edge","mechanism_label_contradiction_edge","knowledge-update asks for an updated value after earlier evidence",2,2
"8a2466db","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"06878be2","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"75832dbd","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"0edc2aef","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"35a27287","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"32260d93","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"195a1a1b","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"afdc33df","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"caf03d32","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"54026fce","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"06f04340","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"6b7dfb22","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"1a1907b4","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"09d032c9","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"38146c39","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"d24813b1","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"57f827a0","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"95228167","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"505af2f5","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"75f70248","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"d6233ab6","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"1da05512","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"fca70973","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"b6025781","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"a89d7624","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"b0479f84","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"1d4e3b97","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"07b6f563","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"1c0ddc50","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"0a34ad58","single-session-preference","out_of_scope","inclusion_3","preference use without a later correction boundary",1,1
"7161e7e2","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"c4f10528","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"89527b6b","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"e9327a54","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"4c36ccef","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"6ae235be","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"7e00a6cb","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"1903aded","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"ceb54acb","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"f523d9fe","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"0e5e2d1a","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"fea54f57","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"cc539528","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"dc439ea3","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"18dcd5a5","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"488d3006","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"58470ed2","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"8cf51dda","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"1d4da289","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"8464fc84","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"8aef76bc","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"71a3fd6b","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
"2bf43736","single-session-assistant","out_of_scope","exclusion_4","assistant-side recall without user-state update",1,1
